[26-Feb-2025 16:40:19 Asia/Kolkata] PHP Warning:  Undefined array key "type" in E:\xampp\htdocs\vehicle_rental_app\global\api.php on line 5
[26-Feb-2025 16:45:00 Asia/Kolkata] PHP Warning:  Array to string conversion in E:\xampp\htdocs\vehicle_rental_app\global\api.php on line 3
[27-Feb-2025 09:51:15 Asia/Kolkata] PHP Warning:  Undefined variable $error in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 19
[27-Feb-2025 10:32:36 Asia/Kolkata] PHP Warning:  Undefined variable $params_procedures in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 30
[27-Feb-2025 10:32:36 Asia/Kolkata] PHP Warning:  Undefined array key "vehicle_rental_app_login_id" in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 26
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Undefined variable $result in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 33
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 33
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 33
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 33
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Undefined variable $result in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Undefined variable $result in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Undefined variable $result in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 10:33:41 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\create_customer_account.php on line 71
[27-Feb-2025 15:36:01 Asia/Kolkata] PHP Warning:  Undefined variable $id in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 13
[27-Feb-2025 15:37:11 Asia/Kolkata] PHP Warning:  Undefined variable $id in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 13
[27-Feb-2025 15:39:39 Asia/Kolkata] PHP Warning:  Undefined variable $id in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 13
[27-Feb-2025 15:39:39 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 19
[27-Feb-2025 15:39:39 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 19
[27-Feb-2025 15:40:23 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 18
[27-Feb-2025 15:40:23 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 18
[27-Feb-2025 15:41:14 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 19
[27-Feb-2025 15:41:14 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 19
[27-Feb-2025 15:41:51 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 21
[27-Feb-2025 15:41:51 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\view\view_customer_info.php on line 21
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Undefined array key "contactInfo" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 15
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 16
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 17
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 18
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 19
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 20
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 21
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 22
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 23
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 24
[27-Feb-2025 19:26:49 Asia/Kolkata] PHP Warning:  Undefined variable $validation_error in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 29
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Undefined array key "contactInfo" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 16
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 17
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 18
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 19
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 20
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 21
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 22
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 23
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 24
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 25
[27-Feb-2025 19:27:47 Asia/Kolkata] PHP Warning:  Undefined variable $validation_error in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 30
[27-Feb-2025 19:57:38 Asia/Kolkata] PHP Warning:  Undefined variable $validation_error in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_address_info.php on line 30
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 22
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07a0d8153d9.53519617\1000208720,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_logos/\ - BUSINESS_LOGO1000208720-27-02-2025 08 13 25 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 24
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 30
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07a0d83e916.22865782\document:1000158601,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_licenses/\ - BUSINESS_licensedocument:1000158601-27-02-2025 08 13 25 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:13:25 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 32
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 22
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07c6c917629.20496539\1000208720,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_logos/\ - BUSINESS_LOGO1000208720-27-02-2025 08 23 32 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 24
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 30
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07c6c92c893.64619510\document:1000158601,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_licenses/\ - BUSINESS_licensedocument:1000158601-27-02-2025 08 23 32 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:23:32 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 32
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 22
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07de3bf2a24.40961899\1000200457,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_logos/\ - BUSINESS_LOGO1000200457-27-02-2025 08 29 47 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 24
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  Undefined array key "account_master_key" in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 30
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07de3c2c689.38851715\document:1000158601,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_licenses/\ - BUSINESS_licensedocument:1000158601-27-02-2025 08 29 47 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:29:47 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 32
[27-Feb-2025 20:31:56 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07e645ef473.60356311\1000200457,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_logos/\ - BUSINESS_LOGO1000200457-27-02-2025 08 31 56 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:31:56 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 24
[27-Feb-2025 20:31:56 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07e646005e5.64477128\document:1000158601,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_licenses/\ - BUSINESS_LICENSEdocument:1000158601-27-02-2025 08 31 56 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:31:56 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 32
[27-Feb-2025 20:34:04 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07ee41aba81.07584949\1000200457,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_logos\ - BUSINESS_LOGO - 1000200457-27-02-2025 08 34 04 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:34:04 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 24
[27-Feb-2025 20:34:04 Asia/Kolkata] PHP Warning:  rename(C:\WINDOWS\TEMP\upload_67c07ee41bc0b6.98602120\document:1000158601,E:/xampp/htdocs/vehicle_rental_app/uploads/customer_licenses\ - BUSINESS_LICENSE - document:1000158601-27-02-2025 08 34 04 PM.): Access is denied (code: 5) in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 222
[27-Feb-2025 20:34:04 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\customer_registration\edit\update_customer_business_info.php on line 32
[28-Feb-2025 10:06:21 Asia/Kolkata] PHP Warning:  Undefined array key "username" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\add\create_guest_account.php on line 17
[28-Feb-2025 10:06:39 Asia/Kolkata] PHP Warning:  Undefined array key "username" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\add\create_guest_account.php on line 17
